rank,title,author,rating,predicted_rating,totalratings,primary_genre,pages
1,Der Grosse Ploetz: Die Chronik Zur Weltgeschichte,&. Ruprecht Vandenhoeck,5.0,4.8488007,1,History,829
2,Liturgy Of The Hours,"The Catholic Church,International Commission on English in the Liturgy,The Grail Psalms,Pope Paul VI",4.8,4.80019,332,Religion,8160
3,Daily Roman Missal,"International Commission on English in the Liturgy,James P. Moroney,United States Conference of Catholic Bishops",4.75,4.7461944,122,Christianity,2496
4,The Plex Solution,P.A. Bird,5.0,4.7151957,2,Young Adult,326
5,Aegyptisches Woerterbuch Ii: Mittleres Reich Und Zweite Zwischenzeit (Kulturgeschichte Der Antiken Welt) (German Edition),Rainer Hannig,5.0,4.6691785,1,Humanities,0
6,Fullmetal Alchemist Complete Box Set,Hiromu Arakawa,4.75,4.6556196,1584,Sequential Art,5375
7,"The Treasury of David, Volumes #1-3(The Treasury of David #1-3)",Charles Haddon Spurgeon,4.64,4.615558,301,Reference,2912
8,"Casey Little, Yo Yo Queen",Nancy Belgue,5.0,4.6037745,3,Mystery,0
9,Harry Potter Collection,J.K. Rowling,4.73,4.602422,31332,Fantasy,3342
10,Before the Mast: Life and Death Aboard the Mary Rose,"Julie Gardiner,Michael J.   Allen",5.0,4.6006756,7,History,732
11,ØµØ­ÙŠØ­ Ø§Ù„Ø¨Ø®Ø§Ø±ÙŠ,Ù…Ø­Ù…Ø¯ Ø¨Ù† Ø¥Ø³Ù…Ø§Ø¹ÙŠÙ„ Ø§Ù„Ø¨Ø®Ø§Ø±ÙŠ,4.59,4.59998,1883,Religion,2080
12,Assisting the Traumatized Soul: Healing the Wounded Talisman,Phyllis Peterson,4.75,4.5977645,4,Religion,70000
13,Brockhaus Enzyklopadie,FA Brockhaus Mannheim,5.0,4.587822,1,European Literature,0
14,The Complete Works of Francis A. Schaeffer: A Christian Worldview,Francis A. Schaeffer,4.4,4.586924,279,Religion,2262
15,Der Neue Pauly: EnzyklopÃ¤die Der Antike,"Hubert Cancik,Helmuth Schneider,August Pauly",5.0,4.560603,1,European Literature,0
16,The Complete Golden Dawn System Of Magic (Ltd Edition),"Israel Regardie,Christopher S. Hyatt",4.25,4.556259,235,Occult,1272
17,"Fredericksburg and Chancellorsville: A Guided Tour from Jeff Shaara's Civil War Battlefields: What Happened, Why it Matters, and What to See","Jeff Shaara,Robertson Dean",4.5,4.556085,12,Unknown,0
18,"Shiloh: A Guided Tour from Jeff Shaara's Civil War Battlefields: What Happened, Why it Matters, and What to See","Jeff Shaara,Robertson Dean",4.15,4.556085,13,Unknown,0
19,"New Market: A Guided Tour from Jeff Shaara's Civil War Battlefields: What Happened, Why it Matters, and What to See","Jeff Shaara,Robertson Dean",4.88,4.553272,8,Unknown,0
20,"The Masks of God, 4 Vols",Joseph Campbell,4.42,4.5459666,71,Fantasy,2404
